load word frequency mapping - complete
loaded tensor torch.Size([798949912])
loaded tensor torch.Size([30301027, 2])
#sentences 30301027
load train data - complete
#sentences 6073
load test data - complete
Batch Size: 1024 Initial LR: 0.004
Random Initialization - No Saved Model
| epoch   1 | 11000/39011 batches | lr 0.003887 | ms/batch 465.05 | loss  3.59 | ppl    36.07
| epoch   1 | 11125/39011 batches | lr 0.003886 | ms/batch 465.65 | loss  3.58 | ppl    35.88
| epoch   1 | 11250/39011 batches | lr 0.003885 | ms/batch 465.19 | loss  3.61 | ppl    36.98
| epoch   1 | 11375/39011 batches | lr 0.003883 | ms/batch 466.54 | loss  3.58 | ppl    36.05
| epoch   1 | 11500/39011 batches | lr 0.003882 | ms/batch 466.77 | loss  3.55 | ppl    34.96
| epoch   1 | 11625/39011 batches | lr 0.003881 | ms/batch 466.19 | loss  3.60 | ppl    36.54
| epoch   1 | 11750/39011 batches | lr 0.003880 | ms/batch 466.22 | loss  3.54 | ppl    34.56
| epoch   1 | 11875/39011 batches | lr 0.003878 | ms/batch 499.71 | loss  3.59 | ppl    36.13
| epoch   1 | 12000/39011 batches | lr 0.003877 | ms/batch 515.22 | loss  3.57 | ppl    35.58
| epoch   1 | 12125/39011 batches | lr 0.003876 | ms/batch 477.34 | loss  3.57 | ppl    35.36
| epoch   1 | 12250/39011 batches | lr 0.003874 | ms/batch 465.63 | loss  3.58 | ppl    36.03
| epoch   1 | 12375/39011 batches | lr 0.003873 | ms/batch 464.46 | loss  3.58 | ppl    35.87
| epoch   1 | 12500/39011 batches | lr 0.003872 | ms/batch 464.96 | loss  3.55 | ppl    34.70
| epoch   1 | 12625/39011 batches | lr 0.003871 | ms/batch 465.09 | loss  3.54 | ppl    34.45
| epoch   1 | 12750/39011 batches | lr 0.003869 | ms/batch 465.90 | loss  3.56 | ppl    35.11
| epoch   1 | 12875/39011 batches | lr 0.003868 | ms/batch 465.91 | loss  3.53 | ppl    34.00
| epoch   1 | 13000/39011 batches | lr 0.003867 | ms/batch 464.99 | loss  3.55 | ppl    34.84
| epoch   1 | 13125/39011 batches | lr 0.003865 | ms/batch 465.24 | loss  3.56 | ppl    35.26
| epoch   1 | 13250/39011 batches | lr 0.003864 | ms/batch 465.27 | loss  3.55 | ppl    34.64
| epoch   1 | 13375/39011 batches | lr 0.003863 | ms/batch 464.33 | loss  3.59 | ppl    36.29
| epoch   1 | 13500/39011 batches | lr 0.003862 | ms/batch 462.34 | loss  3.56 | ppl    35.13
| epoch   1 | 13625/39011 batches | lr 0.003860 | ms/batch 462.75 | loss  3.49 | ppl    32.84
| epoch   1 | 13750/39011 batches | lr 0.003859 | ms/batch 461.22 | loss  3.53 | ppl    34.17
| epoch   1 | 13875/39011 batches | lr 0.003858 | ms/batch 461.11 | loss  3.54 | ppl    34.39
| epoch   1 | 14000/39011 batches | lr 0.003856 | ms/batch 463.28 | loss  3.56 | ppl    35.33
| epoch   1 | 14125/39011 batches | lr 0.003855 | ms/batch 459.98 | loss  3.51 | ppl    33.43
| epoch   1 | 14250/39011 batches | lr 0.003854 | ms/batch 459.31 | loss  3.57 | ppl    35.57
| epoch   1 | 14375/39011 batches | lr 0.003853 | ms/batch 458.09 | loss  3.54 | ppl    34.33
| epoch   1 | 14500/39011 batches | lr 0.003851 | ms/batch 458.85 | loss  3.59 | ppl    36.13
